levelname,asctime,message,apk,version,phase,loadsJNI,local_port,remote_host,container,ip_source,port_source,method,host,url,port_dest,tls,ip_dest,https,cookie,PII,format,country,error,ip_anycast,android_rating,android_numDownloads,android_category,it_mentioned_by_policy,adequacy_decision_by_policy,countries_mentioned_by_policy,origins_transfers_outside_EEE,destinations_transfers_outside_EEE,frequency_transfers_outside_EEE,outside_EEE,stackTrace,TP-performed,TP-library,FP-intended,apk_it_gdpr_compliance
DEBUG,2023-12-14 19:13:56.903,Connection intercepted,it.Gruner.Focus,100025,dynamic,False,,None,new_traffic,192.168.1.178,36364.0,POST,firebaselogging-pa.googleapis.com,https://firebaselogging-pa.googleapis.com/v1/firelog/legacy/batchlog,443.0,True,172.217.168.170,True,[],Device_Model,Clear_text,Spain,None,False,3.5,100K+,News & Magazines,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:14:12.839,Frida Results,com.zhystudio.IslamicUrduNamesDictionary,6,idle,True,34364.0,www.facebook.com,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:14:12.840,Frida Results,com.zhystudio.IslamicUrduNamesDictionary,6,idle,True,55430.0,graph.facebook.com,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:17:14.364,Frida Results,com.zhystudio.IslamicUrduNamesDictionary,6,dynamic,True,34400.0,www.facebook.com,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:17:14.365,Frida Results,com.zhystudio.IslamicUrduNamesDictionary,6,dynamic,True,52780.0,graph.facebook.com,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:14:36.175,Frida Results,com.Antariksastudio.LaguNostalgiaTerbaikPalingDicari,1014,idle,True,44628.0,o582999.ingest.sentry.io,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:14:36.176,Frida Results,com.Antariksastudio.LaguNostalgiaTerbaikPalingDicari,1014,idle,True,44632.0,o582999.ingest.sentry.io,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:14:36.176,Frida Results,com.Antariksastudio.LaguNostalgiaTerbaikPalingDicari,1014,idle,True,51116.0,fundingchoicesmessages.google.com,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:14:36.176,Frida Results,com.Antariksastudio.LaguNostalgiaTerbaikPalingDicari,1014,idle,True,45674.0,data.flurry.com,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:14:36.176,Frida Results,com.Antariksastudio.LaguNostalgiaTerbaikPalingDicari,1014,idle,True,44652.0,o582999.ingest.sentry.io,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:17:38.060,Frida Results,com.Antariksastudio.LaguNostalgiaTerbaikPalingDicari,1014,dynamic,True,44668.0,o582999.ingest.sentry.io,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:17:38.061,Frida Results,com.Antariksastudio.LaguNostalgiaTerbaikPalingDicari,1014,dynamic,True,44672.0,o582999.ingest.sentry.io,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:17:38.061,Frida Results,com.Antariksastudio.LaguNostalgiaTerbaikPalingDicari,1014,dynamic,True,51156.0,fundingchoicesmessages.google.com,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:17:38.062,Frida Results,com.Antariksastudio.LaguNostalgiaTerbaikPalingDicari,1014,dynamic,True,46360.0,data.flurry.com,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:17:38.062,Frida Results,com.Antariksastudio.LaguNostalgiaTerbaikPalingDicari,1014,dynamic,True,44692.0,o582999.ingest.sentry.io,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:16:23.382,Frida Results,ge.bog.mbankjunior,22,idle,True,55108.0,crashlyticsreports-pa.googleapis.com,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:16:23.382,Frida Results,ge.bog.mbankjunior,22,idle,True,56734.0,facebook.com,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
